iter	Passed	Remaining
459	802	941
460	803	939
461	805	937
462	807	936
463	809	935
464	811	933
465	812	930
466	813	928
467	816	927
468	817	925
469	818	923
470	820	921
471	821	919
472	824	918
473	825	916
474	826	913
475	827	911
476	829	909
477	830	907
478	832	905
479	834	903
480	835	901
481	837	899
482	838	897
483	840	895
484	841	893
485	842	891
486	844	889
487	846	888
488	848	886
489	849	884
490	852	883
491	853	881
492	854	879
493	856	876
494	857	874
495	858	872
496	860	870
497	861	868
498	863	866
499	864	864
500	866	863
501	868	861
502	869	859
503	870	856
504	872	854
505	873	852
506	874	850
507	875	848
508	877	846
509	878	844
510	880	842
511	882	840
512	884	839
513	885	837
514	886	835
515	888	832
516	889	830
517	891	829
518	892	827
519	895	826
520	898	826
521	900	824
522	901	821
523	902	819
524	904	817
525	905	815
526	906	813
527	907	811
528	910	810
529	913	809
530	915	808
531	916	806
532	918	804
533	919	802
534	922	801
535	925	800
536	926	799
537	928	797
538	929	795
539	930	792
540	932	790
541	933	788
542	934	786
543	935	784
544	937	782
545	938	780
546	939	777
547	941	776
548	943	774
549	944	772
550	945	770
551	946	768
552	948	766
553	949	764
554	950	762
555	951	759
556	952	757
557	953	755
558	955	753
559	957	752
560	958	750
561	960	748
562	961	746
563	963	744
564	964	742
565	966	740
566	968	739
567	969	737
568	971	735
569	973	734
570	975	733
571	977	731
572	978	729
573	980	727
574	982	726
575	986	726
576	988	724
577	989	722
578	991	720
579	992	718
580	993	716
581	995	714
582	996	712
583	997	710
584	998	708
585	1001	707
586	1003	705
587	1004	703
588	1005	701
589	1007	700
590	1008	698
591	1010	696
592	1011	694
593	1012	692
594	1014	690
595	1016	689
596	1018	687
597	1019	685
598	1021	683
599	1022	681
600	1023	679
601	1024	677
602	1026	675
603	1027	673
604	1028	671
605	1029	669
606	1031	667
607	1032	665
608	1034	664
609	1035	662
610	1036	660
611	1038	658
612	1039	656
613	1041	654
614	1042	652
615	1043	650
616	1045	649
617	1048	647
618	1049	645
619	1050	644
620	1052	642
621	1053	640
622	1055	638
623	1056	636
624	1058	634
625	1059	633
626	1062	631
627	1063	629
628	1064	627
629	1065	625
630	1067	624
631	1068	622
632	1069	620
633	1070	618
634	1072	616
635	1073	614
636	1074	612
637	1075	610
638	1077	608
639	1079	606
640	1080	605
641	1081	603
642	1082	601
643	1083	599
644	1085	597
645	1087	595
646	1088	593
647	1089	592
648	1091	590
649	1092	588
650	1094	586
651	1095	584
652	1096	582
653	1098	581
654	1099	579
655	1101	577
656	1102	575
657	1104	573
658	1105	571
659	1106	570
660	1108	568
661	1109	566
662	1111	564
663	1112	562
664	1113	560
665	1114	559
666	1116	557
667	1117	555
668	1118	553
669	1119	551
670	1122	550
671	1124	548
672	1125	546
673	1127	545
674	1128	543
675	1130	541
676	1131	539
677	1132	537
678	1134	536
679	1135	534
680	1137	532
681	1139	531
682	1140	529
683	1141	527
684	1142	525
685	1143	523
686	1145	521
687	1146	519
688	1147	517
689	1148	515
690	1149	514
691	1150	512
692	1152	510
693	1153	508
694	1155	506
695	1156	505
696	1157	503
697	1158	501
698	1159	499
699	1160	497
700	1162	495
701	1163	493
702	1164	491
703	1165	490
704	1167	488
705	1169	486
706	1170	485
707	1172	483
708	1173	481
709	1174	479
710	1175	477
711	1177	476
712	1178	474
713	1179	472
714	1180	470
715	1181	468
716	1184	467
717	1185	465
718	1186	463
719	1188	462
720	1189	460
721	1190	458
722	1192	456
723	1193	454
724	1194	453
725	1195	451
726	1196	449
727	1198	447
728	1199	446
729	1201	444
730	1202	442
731	1203	440
732	1204	438
733	1206	437
734	1207	435
735	1208	433
736	1209	431
737	1211	429
738	1212	428
739	1213	426
740	1215	424
741	1216	422
742	1217	421
743	1218	419
744	1219	417
745	1221	415
746	1222	414
747	1223	412
748	1224	410
749	1226	408
750	1227	407
751	1229	405
752	1231	403
753	1232	402
754	1234	400
755	1235	398
756	1237	397
757	1238	395
758	1240	393
759	1243	392
760	1244	390
761	1246	389
762	1247	387
763	1248	385
764	1251	384
765	1252	382
766	1254	381
767	1255	379
768	1257	377
769	1258	375
770	1259	374
771	1261	372
772	1262	370
773	1263	368
774	1264	367
775	1265	365
776	1267	363
777	1268	361
778	1269	360
779	1270	358
780	1272	356
781	1274	355
782	1275	353
783	1277	351
784	1278	350
785	1279	348
786	1280	346
787	1282	344
788	1283	343
789	1284	341
790	1284	339
791	1286	337
792	1287	336
793	1289	334
794	1290	332
795	1291	330
796	1292	329
797	1293	327
798	1294	325
799	1296	324
800	1297	322
801	1298	320
802	1300	318
803	1301	317
804	1302	315
805	1304	313
806	1305	312
807	1306	310
808	1307	308
809	1308	306
810	1309	305
811	1310	303
812	1311	301
813	1312	299
814	1313	298
815	1314	296
816	1316	294
817	1317	293
818	1319	291
819	1320	289
820	1322	288
821	1323	286
822	1324	284
823	1325	283
824	1326	281
825	1327	279
826	1329	278
827	1330	276
828	1331	274
829	1332	272
830	1333	271
831	1335	269
832	1336	267
833	1337	266
834	1338	264
835	1339	262
836	1340	261
837	1341	259
838	1342	257
839	1343	255
840	1344	254
841	1345	252
842	1346	250
843	1348	249
844	1349	247
845	1351	245
846	1352	244
847	1353	242
848	1354	240
849	1356	239
850	1357	237
851	1358	236
852	1359	234
853	1361	232
854	1362	231
855	1364	229
856	1365	227
857	1367	226
858	1368	224
859	1369	222
860	1370	221
861	1371	219
862	1373	217
863	1374	216
864	1375	214
865	1376	213
866	1378	211
867	1379	209
868	1381	208
869	1382	206
870	1383	204
871	1384	203
872	1385	201
873	1387	199
874	1388	198
875	1389	196
876	1390	195
877	1392	193
878	1395	192
879	1397	190
880	1398	188
881	1399	187
882	1400	185
883	1401	183
884	1403	182
885	1404	180
886	1405	179
887	1406	177
888	1408	175
889	1410	174
890	1411	172
891	1412	171
892	1413	169
893	1415	167
894	1416	166
895	1417	164
896	1418	162
897	1420	161
898	1421	159
899	1422	158
900	1424	156
901	1425	154
902	1427	153
903	1428	151
904	1429	150
905	1430	148
906	1431	146
907	1433	145
908	1434	143
909	1435	141
910	1436	140
911	1437	138
912	1439	137
913	1440	135
914	1442	133
915	1443	132
916	1444	130
917	1445	129
918	1446	127
919	1447	125
920	1448	124
921	1449	122
922	1451	121
923	1452	119
924	1453	117
925	1455	116
926	1456	114
927	1458	113
928	1459	111
929	1460	109
930	1461	108
931	1462	106
932	1463	105
933	1464	103
934	1465	101
935	1467	100
936	1468	98
937	1470	97
938	1471	95
939	1472	94
940	1474	92
941	1475	90
942	1476	89
943	1477	87
944	1478	86
945	1479	84
946	1481	82
947	1482	81
948	1483	79
949	1484	78
950	1486	76
951	1487	75
952	1488	73
953	1489	71
954	1491	70
955	1492	68
956	1493	67
957	1494	65
958	1495	63
959	1496	62
960	1497	60
961	1499	59
962	1500	57
963	1502	56
964	1503	54
965	1504	52
966	1505	51
967	1506	49
968	1507	48
969	1508	46
970	1509	45
971	1511	43
972	1512	41
973	1513	40
974	1514	38
975	1516	37
976	1517	35
977	1518	34
978	1519	32
979	1520	31
980	1521	29
981	1522	27
982	1523	26
983	1524	24
984	1526	23
985	1527	21
986	1528	20
987	1529	18
988	1531	17
989	1532	15
990	1533	13
991	1535	12
992	1536	10
993	1537	9
994	1538	7
995	1539	6
996	1541	4
997	1541	3
998	1543	1
999	1544	0
